H,Location ID,Local Date,Local Hour,OnOffPeak,Total Cost,RTLO
H,Number,Date,Number,String,Number,Number
D,4000,02/01/2021,1,OFF,66.31,13151.756
D,4000,02/01/2021,2,OFF,63.29,12856.046
D,4000,02/01/2021,3,OFF,57.83,12855.92
D,4000,02/01/2021,4,OFF,60.63,13059.28
D,4000,02/01/2021,5,OFF,56.86,13385.385
D,4000,02/01/2021,6,OFF,63.96,13970.121
D,4000,02/01/2021,7,OFF,77.7,15119.921
D,4000,02/01/2021,8,ON,92.46,16187.68
D,4000,02/01/2021,9,ON,85.72,16831.895
D,4000,02/01/2021,10,ON,81.26,17093.072
D,4000,02/01/2021,11,ON,68.68,17241.884
D,4000,02/01/2021,12,ON,88.55,17327.902
D,4000,02/01/2021,13,ON,100.33,17318.994
D,4000,02/01/2021,14,ON,110.27,17232.127
D,4000,02/01/2021,15,ON,104.27,17035.815
D,4000,02/01/2021,16,ON,102.31,16919.241
D,4000,02/01/2021,17,ON,106.34,17231.167
D,4000,02/01/2021,18,ON,122.78,17878.178
D,4000,02/01/2021,19,ON,129.88,17559.027
D,4000,02/01/2021,20,ON,115.39,16846.306
D,4000,02/01/2021,21,ON,98.02,15990.753
D,4000,02/01/2021,22,ON,73,15031.068
D,4000,02/01/2021,23,ON,68.42,14010.025
D,4000,02/01/2021,24,OFF,62.54,13320.782
D,4000,02/02/2021,1,OFF,75.31,12755.004
D,4000,02/02/2021,2,OFF,97.7,12369.182
D,4000,02/02/2021,3,OFF,82.52,12483.563
D,4000,02/02/2021,4,OFF,54.97,12474.044
D,4000,02/02/2021,5,OFF,69.28,12696.715
D,4000,02/02/2021,6,OFF,75.1,12931.022
D,4000,02/02/2021,7,OFF,88.59,13701.954
D,4000,02/02/2021,8,ON,72.81,14649.476
D,4000,02/02/2021,9,ON,77.13,15419.35
D,4000,02/02/2021,10,ON,99.52,15786.307
D,4000,02/02/2021,11,ON,92.28,16110.59
D,4000,02/02/2021,12,ON,127.74,16395.818
D,4000,02/02/2021,13,ON,122.92,16469.028
D,4000,02/02/2021,14,ON,105.69,16296.01
D,4000,02/02/2021,15,ON,79.03,16062.887
D,4000,02/02/2021,16,ON,89.46,16220.593
D,4000,02/02/2021,17,ON,92.32,16569.082
D,4000,02/02/2021,18,ON,115.14,17283.358
D,4000,02/02/2021,19,ON,112.23,17078.09
D,4000,02/02/2021,20,ON,98.62,16407.934
D,4000,02/02/2021,21,ON,108.23,15601.186
D,4000,02/02/2021,22,ON,106.45,14677.109
D,4000,02/02/2021,23,ON,81.92,13646.625
D,4000,02/02/2021,24,OFF,100.02,13019.756
D,4000,02/03/2021,1,OFF,141.47,12378.946
D,4000,02/03/2021,2,OFF,164.9,12025.084
D,4000,02/03/2021,3,OFF,155.1,12164.634
D,4000,02/03/2021,4,OFF,159.91,12208.87
D,4000,02/03/2021,5,OFF,137.13,12147.627
D,4000,02/03/2021,6,OFF,171.78,12811.163
D,4000,02/03/2021,7,OFF,212.53,14160.844
D,4000,02/03/2021,8,ON,248.54,15193.247
D,4000,02/03/2021,9,ON,252.56,15743.089
D,4000,02/03/2021,10,ON,216.92,15748.974
D,4000,02/03/2021,11,ON,159.11,15678.912
D,4000,02/03/2021,12,ON,156.31,15655.599
D,4000,02/03/2021,13,ON,180.34,15588.681
D,4000,02/03/2021,14,ON,160.69,15584.037
D,4000,02/03/2021,15,ON,141.52,15517.369
D,4000,02/03/2021,16,ON,119.9,15515.657
D,4000,02/03/2021,17,ON,156.18,15954.162
D,4000,02/03/2021,18,ON,174.14,16940.825
D,4000,02/03/2021,19,ON,211.28,16875.302
D,4000,02/03/2021,20,ON,198.87,16268.446
D,4000,02/03/2021,21,ON,171.39,15536.585
D,4000,02/03/2021,22,ON,137.54,14687.109
D,4000,02/03/2021,23,ON,112.76,13570.338
D,4000,02/03/2021,24,OFF,104.22,12736.334
D,4000,02/04/2021,1,OFF,101.27,12753.934
D,4000,02/04/2021,2,OFF,105.87,12564.79
D,4000,02/04/2021,3,OFF,102.94,12408.975
D,4000,02/04/2021,4,OFF,102.54,12395.059
D,4000,02/04/2021,5,OFF,99.36,12670.24
D,4000,02/04/2021,6,OFF,103.24,13212.474
D,4000,02/04/2021,7,OFF,111.17,14126.324
D,4000,02/04/2021,8,ON,131.59,15151.257
D,4000,02/04/2021,9,ON,126.65,15505.412
D,4000,02/04/2021,10,ON,108.84,15375.475
D,4000,02/04/2021,11,ON,94.98,15082.237
D,4000,02/04/2021,12,ON,90.18,14937.472
D,4000,02/04/2021,13,ON,97.15,15121.236
D,4000,02/04/2021,14,ON,96.92,15111.671
D,4000,02/04/2021,15,ON,96.48,15009.642
D,4000,02/04/2021,16,ON,95.44,14836.859
D,4000,02/04/2021,17,ON,106.67,15363.239
D,4000,02/04/2021,18,ON,126.6,16431.306
D,4000,02/04/2021,19,ON,133.56,16570.758
D,4000,02/04/2021,20,ON,127.59,16099.938
D,4000,02/04/2021,21,ON,112.25,15455.934
D,4000,02/04/2021,22,ON,99.16,14600.527
D,4000,02/04/2021,23,ON,88.97,13613.271
D,4000,02/04/2021,24,OFF,83.28,13008.875
D,4000,02/05/2021,1,OFF,78.37,12853.691
D,4000,02/05/2021,2,OFF,79.37,12997.663
D,4000,02/05/2021,3,OFF,76.77,12889.208
D,4000,02/05/2021,4,OFF,76.28,12917.884
D,4000,02/05/2021,5,OFF,77.74,13219.368
D,4000,02/05/2021,6,OFF,80.59,13712.197
D,4000,02/05/2021,7,OFF,80.42,14395.086
D,4000,02/05/2021,8,ON,99.32,15330.045
D,4000,02/05/2021,9,ON,134.74,15907.53
D,4000,02/05/2021,10,ON,153.96,16157.04
D,4000,02/05/2021,11,ON,150.22,16254.056
D,4000,02/05/2021,12,ON,144.43,16183.971
D,4000,02/05/2021,13,ON,152.31,15962.772
D,4000,02/05/2021,14,ON,105.55,15593.063
